image_id,path,cls,field,arxiv_id,source,split
30,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11265v1_p003_01.jpeg,diagram,semiconductor_engineering,2607.11265v1,accepted,train
37,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11790v1_p008_01.jpeg,diagram,semiconductor_engineering,2607.11790v1,accepted,train
39,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11846v1_p002_02.jpeg,diagram,semiconductor_engineering,2607.11846v1,accepted,train
40,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.11846v1_p008_01.jpeg,data_plot,semiconductor_engineering,2607.11846v1,llm,train
41,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.12593v1_p004_01.jpeg,diagram,aerospace_engineering,2607.12593v1,accepted,val
42,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.12593v1_p005_01.jpeg,diagram,aerospace_engineering,2607.12593v1,accepted,val
43,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.12593v1_p006_01.jpeg,diagram,aerospace_engineering,2607.12593v1,accepted,val
44,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.12593v1_p008_01.jpeg,diagram,aerospace_engineering,2607.12593v1,accepted,val
45,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.12593v1_p010_01.jpeg,diagram,aerospace_engineering,2607.12593v1,accepted,val
46,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.12593v1_p012_01.jpeg,diagram,aerospace_engineering,2607.12593v1,accepted,val
47,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.12593v1_p012_02.jpeg,diagram,aerospace_engineering,2607.12593v1,accepted,val
48,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.12593v1_p012_03.jpeg,diagram,aerospace_engineering,2607.12593v1,accepted,val
49,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.12593v1_p012_04.jpeg,diagram,aerospace_engineering,2607.12593v1,accepted,val
52,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/utilities_power_systems/2607.12697v1_p002_03.jpeg,fragment_junk,utilities_power_systems,2607.12697v1,local,test
53,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.12697v1_p002_04.jpeg,diagram,utilities_power_systems,2607.12697v1,accepted,test
59,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.12707v1_p017_06.jpeg,fragment_junk,semiconductor_engineering,2607.12707v1,local,train
78,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.12707v1_p019_04.jpeg,fragment_junk,semiconductor_engineering,2607.12707v1,local,train
79,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.12707v1_p019_05.jpeg,data_plot,semiconductor_engineering,2607.12707v1,llm,train
83,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.12707v1_p019_09.jpeg,diagram,semiconductor_engineering,2607.12707v1,accepted,train
84,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.12707v1_p019_10.jpeg,diagram,semiconductor_engineering,2607.12707v1,accepted,train
87,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/aerospace_engineering/2607.12801v1_p002_02.jpeg,fragment_junk,aerospace_engineering,2607.12801v1,local,train
88,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/aerospace_engineering/2607.12801v1_p003_01.jpeg,fragment_junk,aerospace_engineering,2607.12801v1,local,train
92,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.13444v1_p005_01.jpeg,diagram,aerospace_engineering,2607.13444v1,accepted,train
93,/Volumes/One Touch/stem_diagrams_data/images_v2/aerospace_engineering/2607.13444v1_p005_02.jpeg,diagram,aerospace_engineering,2607.13444v1,accepted,train
94,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.13448v1_p007_01.jpeg,diagram,semiconductor_engineering,2607.13448v1,accepted,train
95,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13448v1_p007_02.jpeg,fragment_junk,semiconductor_engineering,2607.13448v1,local,train
97,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13448v1_p009_02.jpeg,fragment_junk,semiconductor_engineering,2607.13448v1,local,train
102,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13448v1_p011_01.jpeg,fragment_junk,semiconductor_engineering,2607.13448v1,local,train
104,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13448v1_p011_03.jpeg,fragment_junk,semiconductor_engineering,2607.13448v1,local,train
106,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13448v1_p014_01.jpeg,data_plot,semiconductor_engineering,2607.13448v1,llm,train
107,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13448v1_p014_02.jpeg,data_plot,semiconductor_engineering,2607.13448v1,llm,train
109,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13448v1_p016_02.jpeg,data_plot,semiconductor_engineering,2607.13448v1,llm,train
110,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13448v1_p016_03.jpeg,fragment_junk,semiconductor_engineering,2607.13448v1,local,train
114,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.13448v1_p019_03.jpeg,fragment_junk,semiconductor_engineering,2607.13448v1,local,train
116,/Volumes/One Touch/stem_diagrams_data/images_v2/manufacturing_engineering/2607.13914v1_p003_01.jpeg,diagram,manufacturing_engineering,2607.13914v1,accepted,train
117,/Volumes/One Touch/stem_diagrams_data/images_v2/manufacturing_engineering/2607.13914v1_p007_01.jpeg,diagram,manufacturing_engineering,2607.13914v1,accepted,train
121,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/manufacturing_engineering/2607.13914v1_p020_02.jpeg,data_plot,manufacturing_engineering,2607.13914v1,llm,train
122,/Volumes/One Touch/stem_diagrams_data/images_v2/manufacturing_engineering/2607.13914v1_p020_03.jpeg,diagram,manufacturing_engineering,2607.13914v1,accepted,train
123,/Volumes/One Touch/stem_diagrams_data/images_v2/robotics_automation/2607.14047v1_p003_01.jpeg,diagram,robotics_automation,2607.14047v1,accepted,train
124,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.05370v1_p004_01.jpeg,fragment_junk,semiconductor_engineering,2607.05370v1,local,train
125,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.05370v1_p004_02.jpeg,data_plot,semiconductor_engineering,2607.05370v1,llm,train
128,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.05370v1_p004_05.jpeg,data_plot,semiconductor_engineering,2607.05370v1,llm,train
130,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.06219v2_p002_01.jpeg,diagram,semiconductor_engineering,2607.06219v2,accepted,train
134,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.06219v2_p007_01.jpeg,data_plot,semiconductor_engineering,2607.06219v2,llm,train
135,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.06456v2_p002_01.jpeg,diagram,semiconductor_engineering,2607.06456v2,accepted,train
136,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.06456v2_p006_01.jpeg,diagram,semiconductor_engineering,2607.06456v2,accepted,train
137,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.06456v2_p007_01.jpeg,diagram,semiconductor_engineering,2607.06456v2,accepted,train
138,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.06456v2_p008_01.jpeg,diagram,semiconductor_engineering,2607.06456v2,accepted,train
139,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.06456v2_p013_01.jpeg,diagram,semiconductor_engineering,2607.06456v2,accepted,train
141,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.06456v2_p016_02.jpeg,data_plot,semiconductor_engineering,2607.06456v2,llm,train
142,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.06456v2_p017_01.jpeg,diagram,semiconductor_engineering,2607.06456v2,accepted,train
143,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.06561v3_p002_01.jpeg,data_plot,semiconductor_engineering,2607.06561v3,llm,train
144,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.06672v1_p002_01.jpeg,diagram,semiconductor_engineering,2607.06672v1,accepted,val
146,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.06672v1_p004_01.jpeg,diagram,semiconductor_engineering,2607.06672v1,accepted,val
149,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.07237v1_p004_01.jpeg,diagram,utilities_power_systems,2607.07237v1,accepted,val
150,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.07237v1_p004_02.jpeg,diagram,utilities_power_systems,2607.07237v1,accepted,val
152,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/utilities_power_systems/2607.07237v1_p006_02.jpeg,fragment_junk,utilities_power_systems,2607.07237v1,local,val
157,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/utilities_power_systems/2607.07421v1_p004_01.jpeg,data_plot,utilities_power_systems,2607.07421v1,llm,test
158,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.07591v1_p003_01.jpeg,diagram,semiconductor_engineering,2607.07591v1,accepted,test
160,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.07591v1_p007_01.jpeg,diagram,semiconductor_engineering,2607.07591v1,accepted,test
161,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.07600v1_p003_01.jpeg,diagram,utilities_power_systems,2607.07600v1,accepted,train
162,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/utilities_power_systems/2607.07600v1_p012_01.jpeg,fragment_junk,utilities_power_systems,2607.07600v1,local,train
163,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.07600v1_p017_01.jpeg,diagram,utilities_power_systems,2607.07600v1,accepted,train
165,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.07798v1_p002_02.jpeg,diagram,semiconductor_engineering,2607.07798v1,accepted,test
166,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.07798v1_p002_03.jpeg,data_plot,semiconductor_engineering,2607.07798v1,llm,test
167,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.07798v1_p002_04.jpeg,fragment_junk,semiconductor_engineering,2607.07798v1,local,test
170,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.07798v1_p004_03.jpeg,fragment_junk,semiconductor_engineering,2607.07798v1,local,test
173,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.07798v1_p004_06.jpeg,fragment_junk,semiconductor_engineering,2607.07798v1,local,test
174,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.07798v1_p009_01.jpeg,diagram,semiconductor_engineering,2607.07798v1,accepted,test
175,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.07798v1_p012_01.jpeg,diagram,semiconductor_engineering,2607.07798v1,accepted,test
176,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.07932v1_p002_01.jpeg,diagram,semiconductor_engineering,2607.07932v1,accepted,train
179,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.07932v1_p002_04.jpeg,data_plot,semiconductor_engineering,2607.07932v1,llm,train
181,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.08260v1_p003_01.jpeg,diagram,utilities_power_systems,2607.08260v1,accepted,test
182,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.08852v1_p001_01.jpeg,diagram,semiconductor_engineering,2607.08852v1,accepted,val
183,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.08852v1_p002_01.jpeg,diagram,semiconductor_engineering,2607.08852v1,accepted,val
184,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.08852v1_p002_02.jpeg,diagram,semiconductor_engineering,2607.08852v1,accepted,val
186,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.08852v1_p003_02.jpeg,diagram,semiconductor_engineering,2607.08852v1,accepted,val
187,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.08852v1_p003_03.jpeg,diagram,semiconductor_engineering,2607.08852v1,accepted,val
189,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.08852v1_p004_01.jpeg,diagram,semiconductor_engineering,2607.08852v1,accepted,val
192,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.10653v3_p002_01.jpeg,diagram,utilities_power_systems,2607.10653v3,accepted,train
193,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/utilities_power_systems/2607.10653v3_p002_02.jpeg,fragment_junk,utilities_power_systems,2607.10653v3,local,train
194,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.10653v3_p003_01.jpeg,diagram,utilities_power_systems,2607.10653v3,accepted,train
195,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.10653v3_p004_01.jpeg,diagram,utilities_power_systems,2607.10653v3,accepted,train
196,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.10653v3_p005_01.jpeg,diagram,utilities_power_systems,2607.10653v3,accepted,train
197,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.10653v3_p005_02.jpeg,diagram,utilities_power_systems,2607.10653v3,accepted,train
198,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.11265v1_p009_01.jpeg,fragment_junk,semiconductor_engineering,2607.11265v1,local,train
199,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11265v1_p009_02.jpeg,diagram,semiconductor_engineering,2607.11265v1,accepted,train
202,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11265v1_p011_01.jpeg,diagram,semiconductor_engineering,2607.11265v1,accepted,train
203,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11265v1_p013_01.jpeg,diagram,semiconductor_engineering,2607.11265v1,accepted,train
205,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.11265v1_p013_03.jpeg,fragment_junk,semiconductor_engineering,2607.11265v1,llm,train
206,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11265v1_p020_01.jpeg,diagram,semiconductor_engineering,2607.11265v1,accepted,train
207,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11768v1_p007_01.jpeg,diagram,semiconductor_engineering,2607.11768v1,accepted,train
209,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.11768v1_p007_03.jpeg,data_plot,semiconductor_engineering,2607.11768v1,llm,train
210,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11768v1_p009_01.jpeg,diagram,semiconductor_engineering,2607.11768v1,accepted,train
211,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.11768v1_p009_02.jpeg,data_plot,semiconductor_engineering,2607.11768v1,llm,train
214,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11790v1_p006_01.jpeg,diagram,semiconductor_engineering,2607.11790v1,accepted,train
215,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.11790v1_p013_01.jpeg,data_plot,semiconductor_engineering,2607.11790v1,llm,train
216,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11790v1_p013_02.jpeg,diagram,semiconductor_engineering,2607.11790v1,accepted,train
217,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.11790v1_p013_03.jpeg,data_plot,semiconductor_engineering,2607.11790v1,llm,train
218,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11790v1_p013_04.jpeg,diagram,semiconductor_engineering,2607.11790v1,accepted,train
219,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.11790v1_p018_01.jpeg,diagram,semiconductor_engineering,2607.11790v1,accepted,train
220,/Volumes/One Touch/stem_diagrams_data/images_v2/manufacturing_engineering/2607.12241v1_p002_01.jpeg,diagram,manufacturing_engineering,2607.12241v1,accepted,val
221,/Volumes/One Touch/stem_diagrams_data/images_v2/manufacturing_engineering/2607.12241v1_p005_01.jpeg,diagram,manufacturing_engineering,2607.12241v1,accepted,val
222,/Volumes/One Touch/stem_diagrams_data/images_v2/manufacturing_engineering/2607.12241v1_p005_02.jpeg,diagram,manufacturing_engineering,2607.12241v1,accepted,val
224,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.02036v1_p004_02.jpeg,data_plot,semiconductor_engineering,2607.02036v1,llm,val
225,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.02036v1_p004_03.jpeg,data_plot,semiconductor_engineering,2607.02036v1,llm,val
226,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.02036v1_p004_04.jpeg,data_plot,semiconductor_engineering,2607.02036v1,llm,val
228,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.02036v1_p004_06.jpeg,photo,semiconductor_engineering,2607.02036v1,llm,val
229,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.03121v1_p020_01.jpeg,diagram,semiconductor_engineering,2607.03121v1,accepted,val
230,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.03121v1_p020_02.jpeg,diagram,semiconductor_engineering,2607.03121v1,accepted,val
231,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.03121v1_p020_03.jpeg,diagram,semiconductor_engineering,2607.03121v1,accepted,val
232,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.03491v1_p010_01.jpeg,diagram,semiconductor_engineering,2607.03491v1,accepted,train
233,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.03491v1_p010_02.jpeg,fragment_junk,semiconductor_engineering,2607.03491v1,local,train
234,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.03491v1_p010_03.jpeg,diagram,semiconductor_engineering,2607.03491v1,accepted,train
237,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.03491v1_p013_03.jpeg,diagram,semiconductor_engineering,2607.03491v1,accepted,train
240,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.04876v1_p018_01.jpeg,diagram,semiconductor_engineering,2607.04876v1,accepted,test
241,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.04876v1_p019_01.jpeg,fragment_junk,semiconductor_engineering,2607.04876v1,local,test
248,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.04876v1_p019_08.jpeg,fragment_junk,semiconductor_engineering,2607.04876v1,local,test
250,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.04968v1_p001_01.jpeg,diagram,semiconductor_engineering,2607.04968v1,accepted,train
251,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.04968v1_p006_01.jpeg,diagram,semiconductor_engineering,2607.04968v1,accepted,train
252,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.04968v1_p006_02.jpeg,data_plot,semiconductor_engineering,2607.04968v1,llm,train
253,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.04968v1_p006_03.jpeg,data_plot,semiconductor_engineering,2607.04968v1,llm,train
254,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.04968v1_p006_04.jpeg,data_plot,semiconductor_engineering,2607.04968v1,llm,train
255,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.04968v1_p007_01.jpeg,data_plot,semiconductor_engineering,2607.04968v1,llm,train
256,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.04968v1_p007_02.jpeg,data_plot,semiconductor_engineering,2607.04968v1,llm,train
258,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.05172v1_p005_02.jpeg,diagram,semiconductor_engineering,2607.05172v1,accepted,train
259,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.05172v1_p005_03.jpeg,data_plot,semiconductor_engineering,2607.05172v1,llm,train
260,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.05172v1_p005_04.jpeg,diagram,semiconductor_engineering,2607.05172v1,accepted,train
262,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.05209v1_p003_02.jpeg,diagram,utilities_power_systems,2607.05209v1,accepted,train
263,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.05296v1_p003_01.jpeg,diagram,semiconductor_engineering,2607.05296v1,accepted,train
265,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.05296v1_p003_03.jpeg,fragment_junk,semiconductor_engineering,2607.05296v1,local,train
266,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.05296v1_p003_04.jpeg,fragment_junk,semiconductor_engineering,2607.05296v1,local,train
268,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/semiconductor_engineering/2607.05296v1_p003_06.jpeg,fragment_junk,semiconductor_engineering,2607.05296v1,local,train
269,/Volumes/One Touch/stem_diagrams_data/images_v2/semiconductor_engineering/2607.05370v1_p002_01.jpeg,diagram,semiconductor_engineering,2607.05370v1,accepted,train
270,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.05553v1_p002_01.jpeg,diagram,utilities_power_systems,2607.05553v1,accepted,val
271,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.05553v1_p002_02.jpeg,diagram,utilities_power_systems,2607.05553v1,accepted,val
272,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.05553v1_p002_03.jpeg,diagram,utilities_power_systems,2607.05553v1,accepted,val
273,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.05599v1_p007_01.jpeg,diagram,utilities_power_systems,2607.05599v1,accepted,val
274,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/utilities_power_systems/2607.05599v1_p009_01.jpeg,data_plot,utilities_power_systems,2607.05599v1,llm,val
275,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/utilities_power_systems/2607.05599v1_p009_02.jpeg,data_plot,utilities_power_systems,2607.05599v1,llm,val
276,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.05720v1_p003_01.jpeg,diagram,utilities_power_systems,2607.05720v1,accepted,train
277,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.05720v1_p005_01.jpeg,diagram,utilities_power_systems,2607.05720v1,accepted,train
278,/Volumes/One Touch/stem_diagrams_data/images_v2/utilities_power_systems/2607.05729v1_p003_01.jpeg,diagram,utilities_power_systems,2607.05729v1,accepted,train
283,/Volumes/One Touch/stem_diagrams_data/images_rejected_v2/manufacturing_engineering/2607.05843v2_p003_01.jpeg,fragment_junk,manufacturing_engineering,2607.05843v2,local,train
284,/Volumes/One Touch/stem_diagrams_data/images_v2/manufacturing_engineering/2607.05843v2_p003_02.jpeg,diagram,manufacturing_engineering,2607.05843v2,accepted,train
285,/Volumes/One Touch/stem_diagrams_data/images_v2/manufacturing_engineering/2607.05843v2_p004_01.jpeg,diagram,manufacturing_engineering,2607.05843v2,accepted,train
